,Package Name,Reviewer Name,Review,Rating,,,,
0,com.dalthed.tucan,GM,Insgesamt ziemlich gut. Es wäre schön wenn die App Push-Benachrichtigung für neu eingetragene Klausurnoten geben würde.,4,,,,
1,com.dalthed.tucan,Thomas D. Alucard,Tucan't,1,,,,
2,com.dalthed.tucan,Kai Meinhard,crashes when selecting anything,1,,,,
3,com.dalthed.tucan,Parsa Ebrahimi,Loggin doesn't work!!,1,,,,
4,com.dalthed.tucan,Eris Discordia,"I really don't know how incompetent of a company you have to be to release this mess of an app, after the most recent update I can't even log in. However, this is pretty much in line with the entire Datenlotsen/Tucan experience. Simply awful.",1,,,,
5,com.dalthed.tucan,jiajun deng,Can't login,1,,,,
6,com.dalthed.tucan,A Google user,Login doesn't work after update. Please fix this!,1,,,,
7,com.dalthed.tucan,kacper d,After actualization I can't login,1,,,,
8,com.dalthed.tucan,Jan Fornoff,App crashes whenever it tries to fetch data from TuCan and it's down,2,,,,
9,com.dalthed.tucan,Mualim ibn Altair,Das Design ist echt gut aber die Funktionalität ist sehr eingeschränkt eine Kombination aus dieser und der anderen tucanapp wäre sehr gut,3,,,,
10,com.dalthed.tucan,Khondakar Readul Islam,Keep going..  Good but not better.,4,,,,
11,com.dalthed.tucan,A Google user,Very limited functionality,1,,,,
12,com.dalthed.tucan,Qasim Ikram,Very limited functionality of TU Can available in this app,3,,,,
13,com.dalthed.tucan,Rohit M.S,Just amazing,5,,,,
14,com.dalthed.tucan,Rhoda Akum,Awesome !,5,,,,
15,com.dalthed.tucan,Jamal Pasha,Awesome app,5,,,,
