,Package Name,Reviewer Name,Review,Rating,,,,,
0,com.dozingcatsoftware.cameratimer,Rod Martinez,"Can select only 1 or 4 shots. Timer interval selections also limited. Let us type in our own values,so this app is actually useful!",1,,,,,
1,com.dozingcatsoftware.cameratimer,Vivian Kamugisha,Good,3,,,,,
2,com.dozingcatsoftware.cameratimer,r mcclanahan,Good,5,,,,,
3,com.dozingcatsoftware.cameratimer,Ema Apap,I hate it,1,,,,,
4,com.dozingcatsoftware.cameratimer,jordan dickenson,"Timer has no options, the quality gets skewed and just plain sucks",1,,,,,
5,com.dozingcatsoftware.cameratimer,j s,I downloaded five apps for soft camera timer and you would think it would be an easy thing but it's actually not all the other apps that I downloaded sucked all four other apps soft and couldn't do this basic thing so it's not that easy and I commend this app in the developers for making it easy flawless app that does as advertised which is a self-camera timer so at times it usually like 5 seconds you could trust it to 35 whatever and it does its job great thank you everybody the whole team,5,,,,,
6,com.dozingcatsoftware.cameratimer,Pracha Se,Tons of adds,1,,,,,
7,com.dozingcatsoftware.cameratimer,Fernando Masocol,"Ok,and good application.",5,,,,,
8,com.dozingcatsoftware.cameratimer,Aamir Khan,Goooood,5,,,,,
9,com.dozingcatsoftware.cameratimer,Indiana Opio Njuki,I can't get over it! Beautiful app!!,5,,,,,
10,com.dozingcatsoftware.cameratimer,"Thomas Strickland, Jr.",Works fine.,5,,,,,
11,com.dozingcatsoftware.cameratimer,A&A Kids special,My phone got haked,1,,,,,
12,com.dozingcatsoftware.cameratimer,Anne Berthelot,You don't know when the pic is being taken so it's always blurry and bad colour,2,,,,,
13,com.dozingcatsoftware.cameratimer,Anabel Unicorn,I actually like it.It is really good,5,,,,,
14,com.dozingcatsoftware.cameratimer,A Google user,Photo quality is low than real photo app on Samsung M21 (48 megapixels),2,,,,,
15,com.dozingcatsoftware.cameratimer,Thandekile Hadebe,Its user friendly and sooo convinient and a very useful app .,5,,,,,
16,com.dozingcatsoftware.cameratimer,Teacher Strategy,This app was made to spy on us. Uninstall it right now until they improve it.,1,,,,,
17,com.dozingcatsoftware.cameratimer,Eleri McAuliffe,Great app,4,,,,,
18,com.dozingcatsoftware.cameratimer,S square,Good app 👍 but full of ads 😒. There is no portrait view options ☹️,4,,,,,
19,com.dozingcatsoftware.cameratimer,kirti,Not working,1,,,,,
20,com.dozingcatsoftware.cameratimer,bhabani purty,Not satisfied,2,,,,,
