,Package Name,Reviewer Name,Review,Rating,,,,,,
0,fr.tvbarthel.apps.cameracolorpicker,Tim V,Working fine for me on Android 11. It's a snap to use. Had my first color palette 60 seconds after installation.,5,,,,,,
1,fr.tvbarthel.apps.cameracolorpicker,Sjors de bruijn,#ffffff yay,1,,,,,,
2,fr.tvbarthel.apps.cameracolorpicker,saguaro,It's unusable on android 12.,1,,,,,,
3,fr.tvbarthel.apps.cameracolorpicker,Mounava Kundu,This aap is useless.dont purchase it . It is a phaltu app,1,,,,,,
4,fr.tvbarthel.apps.cameracolorpicker,Rocky balboa,Not support latest OS,1,,,,,,
5,fr.tvbarthel.apps.cameracolorpicker,arooj fatima,it was usefull,5,,,,,,
6,fr.tvbarthel.apps.cameracolorpicker,Miodrag Nisevic,Doesn't work,1,,,,,,
7,fr.tvbarthel.apps.cameracolorpicker,Prashanta Karmakar,BEST!!!,5,,,,,,
8,fr.tvbarthel.apps.cameracolorpicker,Atul Deepak Jadhav,Color code not even change on click,2,,,,,,
9,fr.tvbarthel.apps.cameracolorpicker,JNCressey,Could do with an option to change the default list from hex values to other colour models,3,,,,,,
10,fr.tvbarthel.apps.cameracolorpicker,Rashed Bin Hasan,Perfect 😍,5,,,,,,
11,fr.tvbarthel.apps.cameracolorpicker,BLAZE DF 69,I hate this app,1,,,,,,
12,fr.tvbarthel.apps.cameracolorpicker,Sam,"Perfect app! Thanks, developers. Good at webdesign. Special thank for all-free app. But, I have an idea. You may add a history of colors picked by user.",5,,,,,,
13,fr.tvbarthel.apps.cameracolorpicker,Abhiram Rachamadugu,Not working,1,,,,,,
14,fr.tvbarthel.apps.cameracolorpicker,MUKESH CHHETRI,lo,5,,,,,,
15,fr.tvbarthel.apps.cameracolorpicker,Abhay Rautela,"Just wow! This app does what it's made for perfectly, and that's also without any ads.",5,,,,,,
16,fr.tvbarthel.apps.cameracolorpicker,Abhishek Fouzdar,Identifies grey as blue.,1,,,,,,
17,fr.tvbarthel.apps.cameracolorpicker,Aaron Fansler,This app doesn't work the colors are darker than actual. And when you turn the flash on the app says it's black lol.  Uninstall in 3 minutes,1,,,,,,
18,fr.tvbarthel.apps.cameracolorpicker,Aliens Got The Beat,"very usefull,works good enough and i also love the donation options,well played.",5,,,,,,
19,fr.tvbarthel.apps.cameracolorpicker,ECCH Store,Cool stuff but this type of apps should have AWB lock and AE correction. Can you write me shortly which api and method can i use to develop cam preview color data acquisition?,4,,,,,,
20,fr.tvbarthel.apps.cameracolorpicker,Christopher Roshan,Brilliant,5,,,,,,
21,fr.tvbarthel.apps.cameracolorpicker,Abdul Rasheed,"A few bugs that a a deal breaker for me:  1: can't tap to focus and it doesn't auto focus  2: if you press the flash button, the colour detection gets stuck on one colour",2,,,,,,
22,fr.tvbarthel.apps.cameracolorpicker,Markus Wolf,"As a graphic artist, I really need to identify the color of the fabric and convert it. This app helps a lot. Thanks!",5,,,,,,
23,fr.tvbarthel.apps.cameracolorpicker,Harry the Bigdog Jamison,I like it,4,,,,,,
24,fr.tvbarthel.apps.cameracolorpicker,A Google user,"Near perfect execution. This app has made me realize how difficult it is to identify color in the real world. Light and shadows are constantly at work. The only thing I could suggest is a tool to get an average color from a larger portion of the image. I'm still playing with the app so if this is already there, then just ignore me. Still gets 5 stars.",5,,,,,,
25,fr.tvbarthel.apps.cameracolorpicker,Santhosh kumar,How to use it,1,,,,,,
26,fr.tvbarthel.apps.cameracolorpicker,Nick,Can't be any simpler. Works with flash. If this remains adless you guys are the bomb.,5,,,,,,
27,fr.tvbarthel.apps.cameracolorpicker,A Google user,😬,4,,,,,,
28,fr.tvbarthel.apps.cameracolorpicker,Akshay Goswami,Great app friend,5,,,,,,
29,fr.tvbarthel.apps.cameracolorpicker,Lucas Stevason,Its really great at what it does. It's one of those apps you wish you had more of a use for,5,,,,,,
30,fr.tvbarthel.apps.cameracolorpicker,Thelmas Bar,I use this to easily identify colors of things I want to paint (like flowe0rs from my garden).  I can see it would be useful for color matching when sabotaging billboards.,5,,,,,,
31,fr.tvbarthel.apps.cameracolorpicker,A Google user,Will be handy for my apps too :),5,,,,,,
32,fr.tvbarthel.apps.cameracolorpicker,Harshid Patel,Thanks to developer.,5,,,,,,
33,fr.tvbarthel.apps.cameracolorpicker,Rami DEBAB,"Works as advertised, great intuitive ui. 5 stars !",5,,,,,,
34,fr.tvbarthel.apps.cameracolorpicker,Lee,"Beautiful and easy to use UI, love it :)",5,,,,,,
