,Package Name,Reviewer,Review,Rating,,,,
0,com.jeyluta.timestampcamerafree,Mujeeb Rahman,A true support for job,5,,,,
1,com.jeyluta.timestampcamerafree,Seven Blade,Good,5,,,,
2,com.jeyluta.timestampcamerafree,Frank izevbigie Frank1234,Beautiful,5,,,,
3,com.jeyluta.timestampcamerafree,Marvin Dayondon,Its a good time in timestamp camera app. My only concern is it take some time to start the app..,5,,,,
4,com.jeyluta.timestampcamerafree,Renu Khera,Nice and Clear photo and useful for watch out time,5,,,,
5,com.jeyluta.timestampcamerafree,"LAMZON, Nathaniel G.","it is a superb and functional app. the upgrade on having second line on the title name gives more distinction. since I am using a free version, the upgrade on leverage to chose font type with kind of color is a very kind act, since on my old phone, those details are restricted.",5,,,,
6,com.jeyluta.timestampcamerafree,Ravi Kumar,Good experience ap,5,,,,
7,com.jeyluta.timestampcamerafree,Awadhesh Dixit,Nice,5,,,,
8,com.jeyluta.timestampcamerafree,imade robyana,Good app. I love it,5,,,,
9,com.jeyluta.timestampcamerafree,Syrus Tama,I love it 💯👍🏾👏🏾,4,,,,
10,com.jeyluta.timestampcamerafree,Muhamad Rajip Mat Jadi,Good,5,,,,
11,com.jeyluta.timestampcamerafree,Lawrence Schiffner,Good to mark mmm occasions,4,,,,
12,com.jeyluta.timestampcamerafree,Arjun Singh,Delete apps,5,,,,
13,com.jeyluta.timestampcamerafree,Raj Rani,Nice app,5,,,,
14,com.jeyluta.timestampcamerafree,CrownRoyal1985,Good.,4,,,,
15,com.jeyluta.timestampcamerafree,Basil,👍,5,,,,
16,com.jeyluta.timestampcamerafree,Kumar P,Nice,5,,,,
17,com.jeyluta.timestampcamerafree,Supon ahmed,Good,5,,,,
18,com.jeyluta.timestampcamerafree,Su Jenny,Very useful and easy.,5,,,,
19,com.jeyluta.timestampcamerafree,Ishwarrao Sutrave,Good,5,,,,
20,com.jeyluta.timestampcamerafree,Lee Bell,Good,5,,,,
21,com.jeyluta.timestampcamerafree,Chaudhary imran hussain,Very good,4,,,,
22,com.jeyluta.timestampcamerafree,J Akash,So bad,1,,,,
23,com.jeyluta.timestampcamerafree,Abdullah Al Mahamud,good,5,,,,
24,com.jeyluta.timestampcamerafree,Johar Ali,Nounses,1,,,,
25,com.jeyluta.timestampcamerafree,Hrishikesh Shilimkar,Best time stamp ever used,5,,,,
26,com.jeyluta.timestampcamerafree,Herdedi Buladi,Good application,5,,,,
27,com.jeyluta.timestampcamerafree,civil engineer,Wide angle camera to be included which is present in IOS app,4,,,,
28,com.jeyluta.timestampcamerafree,Mamah zara,Good application ..,5,,,,
29,com.jeyluta.timestampcamerafree,sardar gill,Great,5,,,,
30,com.jeyluta.timestampcamerafree,John Jones,Okay,4,,,,
31,com.jeyluta.timestampcamerafree,Max Rangel,Gratis for work,5,,,,
32,com.jeyluta.timestampcamerafree,HAMEED A,Marvellous,5,,,,
33,com.jeyluta.timestampcamerafree,Maksym,easy and necessary for work. thanks.,5,,,,
34,com.jeyluta.timestampcamerafree,GPSA,Excellent,4,,,,
35,com.jeyluta.timestampcamerafree,Mahbub Billah Shoboj,Nice Applications,5,,,,
36,com.jeyluta.timestampcamerafree,Pramod Sharma,Excellent,4,,,,
37,com.jeyluta.timestampcamerafree,Tilak Raj,Good & wonderful experience,5,,,,
38,com.jeyluta.timestampcamerafree,Alok Mishra,Super👌👌,5,,,,
39,com.jeyluta.timestampcamerafree,Muhammad Ismail 554,"The app is easy to use and custom watermarks really helped me with my works, ads are there but the size of ads and occurence is rational so I dont mind. Great work!",5,,,,
40,com.jeyluta.timestampcamerafree,Miguel Medina,"Easy to use, very accurate location",5,,,,
41,com.jeyluta.timestampcamerafree,MUHAMMAD PERVAIZ,Good,5,,,,
42,com.jeyluta.timestampcamerafree,Mohd Samsudin,Easy to use,5,,,,
43,com.jeyluta.timestampcamerafree,Sadiq Khan,Very useful,5,,,,
