Package name,Reviewer name,Review text,raiting
com.oakley.fon,Cathy Rees,telstra australia making product almost impossible use i dont know international traveler would fare telstra account number required log telstra air they check ensure telstra sim used im yet work log laptop day im happy,1
com.oakley.fon,Andrea z,very expensive billing even disconnected it say worry wont start billing connect mean connect time start go even disconnect if buy one hour mean one hour straight one hour surfing so buy hour check mail disconnect timer keep running anyway,1
com.oakley.fon,Chris Wirth,warning this app useless i purchased ten pas use australia app didnt connect hot spot i literally meter away the app sat loading hour i use data incur additional 50 data dont waste money time,1
com.oakley.fon,D C,would recommend anyone go fon wifi you surely get 100 connectivity wifi spot im day two using ive disconnected network multiple time sometimes frequent every two minute requires sign back any data plan network way better service would better using cellular data plan im forced used thanks fon instead buying thier monthly pas,1
com.oakley.fon,Burak zhan,i need create account see pricing usage pass why why cant show price let decide creating account worth time edit even worse i created account see there pass available region this make sense removing app phone reducing one star two,1
com.oakley.fon,Gregory B,barely connects through telstra air long cool period try connect many time dont bother unless using guest pas support done ticket youre pas wont get help,1
com.oakley.fon,Luke C,if want pay money get continuous sorry error message wifi access app if expect actually get paid maybe try different app,1
com.oakley.fon,Mike Lightley,standing right next router app tell im connected internet must check connection if im connected i download app uninstalling useless app,1
com.oakley.fon,Chloe Oh,wasting time money its keep saying many user connected spot time please try later i tried whole day i couldnt connect fon wifi even one min,1
com.oakley.fon,Oleg K.,terrible service drop time requires login detail entered every drop im glad i paid one day never,1
com.oakley.fon,XIN JIANG,very bad alway showing many user connected spot time please try later so i pay money wifi working,1
com.oakley.fon,Dimmu Sihirator,so horrible operator disconnect every second app wasting money time so low disappointed ten dont recommend,1
com.oakley.fon,Dan Lutman,very unreliable worked little bit cant connect hotspot,1
com.oakley.fon,Boyd Liggitt,very sketchy service with 68 available hotspot around apartment still unable connect,1
com.oakley.fon,Darren Dooligan,absolutely amazing price beat monthly broadband leap bound really simple easy use recommend,5
com.oakley.fon,Kosta Ivanchev,useless no option buy pas app no subscription option i could see purpose app,1
com.oakley.fon,Rich Smith,the app serious problem background battery drain essential phone really really bad,1
com.oakley.fon,Pete Newman,4500 toilet connection poor whichever hotspot i go town according fon hotspot map i middle several support useless basically saying problem connection weak just rubbish,1
com.oakley.fon,alex palmer,fix app please spent money internet cant use everytime open app say oops something went wrong,1
com.oakley.fon,George Arvanitis,doesnt work greece anymore say password incorrect even though correct,1
com.oakley.fon,Nooikende Niko,great service bad cant use app im using account supplied local isp,3
com.oakley.fon,Katha Athi,waste money paid one day pas doesnt connect,1
com.oakley.fon,Michelle Chen,this scam dont let suck it make pay without actually providing internet access consumer beware,1
com.oakley.fon,Fossie,this network make miss speed reliability dialup,1
com.oakley.fon,Joshua Genrich,your app doesnt workkeeps coming ooops something went wrong,1
com.oakley.fon,FireRat666 Classified,worst service terrible app service doesnt work dont waste money,1
com.oakley.fon,king funny,the app legendry get wifi easy i wash download app i sure like,5
com.oakley.fon,s,disappointed didnt work fon account only telstra bummer,1
com.oakley.fon,Sky- Series,best service provider paris france use sfr fon wifi whatsapp call working suggestion,4
com.oakley.fon,A Google user,fantastic app its god send love,5
com.oakley.fon,Jeanne Smith,i telekom hotspot pas cant sign,2
com.oakley.fon,marlon saul palpa zavala,the pass buy valid country fon partner,1
com.oakley.fon,Todd Fray,great job application,5
com.oakley.fon,Dimitrios N Servis,not working good,1
com.oakley.fon,r b,worst app worst internet service ever costumer service rude,1
com.oakley.fon,A Google user,really good work well,5
com.oakley.fon,Skyla Bee,great works good get great connection from my bedroomlounge room all through out my house,5
com.oakley.fon,L M,cant connect internet,1
com.oakley.fon,Top Zabava,scam work,1
com.oakley.fon,Vortex Rikers,no pass available buy,1
com.oakley.fon,Valber Oliveira,helps get connected fon network hotspot worlwide,4
com.oakley.fon,grace hart,love fon app,5
com.oakley.fon,Lokesh Yadav,it nice experience,2
com.oakley.fon,Berto Shane,fon wifi scam,1
com.oakley.fon,Silas korsah,hhm let check dude,3
com.oakley.fon,Mbahh Dukun,it take money,1
com.oakley.fon,david jarosz,love ot thanks l,5
com.oakley.fon,King Hodge,hard ok,3
com.oakley.fon,Emile Guidry,like,5
com.oakley.fon,Dwayne Gardner,great service,5
com.oakley.fon,Chlo Deon,love,5
com.oakley.fon,md shamim,nice,5
com.oakley.fon,Richard Amartey,great,5
com.oakley.fon,chukwuemeka ambrose,beautiful,5
com.oakley.fon,Mahabub Khan,best,5
com.oakley.fon,Lady Songstress,great cheap affordable easy use not bullh1t review either actually good,5
com.oakley.fon,European Punjabi,vryyyyyyy nic nd gud app lov,5
com.oakley.fon,love you,intarnetnal,5
com.oakley.fon,Barber Mazen,fake,1
com.oakley.fon,A Google user,,5
com.oakley.fon,Farhan sejdeh,bad,1
com.oakley.fon,Shailee Gautam,loved,5
com.oakley.fon,Amy Yates,love,4
com.oakley.fon,El Ham Mohamed,amazing,5
com.oakley.fon,Kobus Pretorius,great app,5
com.oakley.fon,Elias Lorite,when work great however rarely rarely work absolutely absurd design need internet connect hotspot want internet sure no problem give little internet first ill sort right if isnt constant use disconnect if struggle constantly disconnect fails login best time a really great concept poor execution,1
com.oakley.fon,A Google user,on samsung galaxy s5 hard connect connected constantly disconnecting not worth money unless option,1
com.oakley.fon,newc geoman,scam never connects hotspot,1
com.oakley.fon,Jose Israel Montesinos Herrera,really useful,5
com.oakley.fon,Juan R,expensive,1
com.oakley.fon,Liz elle Plaatjies,lizplaatjies87gmailcom,5
com.oakley.fon,ppsspp games mods,so bad,1
com.oakley.fon,Angela Eason,didentlikethatapp,5
com.oakley.fon,A Google user,thnx,5
com.oakley.fon,bandaru vara prasad,satish,5
com.oakley.fon,Iakovos Chantzos,,5
com.oakley.fon,FF GAMERS FF,hiiuiiiiiii,5
com.oakley.fon,sunil santha,ok,5
com.oakley.fon,STARKING MOSES,nice one,5
com.oakley.fon,Lee steele,painfull,2
com.oakley.fon,strangE,happy,5
com.oakley.fon,Ssentume Tjay,great,1
com.oakley.fon,Ernest Boateng,good,5
com.oakley.fon,Nkwatsibwe Innocent,good,5
