Package name,Reviewer name,Review text,raiting
com.github.mofosyne.instantreadme,Matthew Foster,adware nonsense i always pay apps i use pay one this adware prevents saving simple text file insane i watch old lady who trouble diaper i save file i keep scratch note program phone you guy done lost mind im going go google note,1
com.github.mofosyne.instantreadme,Tiberius 111,the editor keep jerking scroll wheel i cant edit code sht would appreicate bug fixed other i like sublime desktop app first time ive tried phone not sure jerking screen around hope stop,2
com.github.mofosyne.instantreadme,Jason Ford,dont recommend mimicking real sublime text editor it work show nonskippable ad screen long period make unusable,1
com.github.mofosyne.instantreadme,Alagiri samy,i paid 250 r disabling advertisement one day advertisement next day advertisement started displaying this ultimate cheating never pay app eat money latter ask money disabling advertisement one day 250 r,1
com.github.mofosyne.instantreadme,Bert Zangle,i like minimalist user interface not sure id write major code project mobile device dev reacted immediately bug report i filed fixed bug next update much appreciated thanks,5
com.github.mofosyne.instantreadme,Matthew Morrone,seems like solid editor far seems lacking sublimes fundamental feature configurability obvious thing i see line number dont align line,3
com.github.mofosyne.instantreadme,Ryan Odenkirk,app pretty good i rated low advertising implementation infuriating make rest app unusable,1
com.github.mofosyne.instantreadme,Remison Juma,i cant delete html file once i delete save it keep repeating,1
com.github.mofosyne.instantreadme,Komal Kumari,by mistake i selected setting see web browserphotos i unable change choice and i unable coding,2
com.github.mofosyne.instantreadme,ADHIL,super please give option enabledisable text highlight improve application smoothness,3
com.github.mofosyne.instantreadme,Amir Far,after opening folder look file doesnt let refresh folder show new file trying reopen folder didnt make difference i even closed opened app still didnt make difference other apps show new file folder such basic thing,1
com.github.mofosyne.instantreadme,Leo Cedric,horible no keyboard appearcant type creating new fileflashes many ad,1
com.github.mofosyne.instantreadme,Kanhaiya Kumar,unable change choice see webrowser photo ask every time,4
com.github.mofosyne.instantreadme,Mark Joseph Pablio,its scam i already paid disabled advertisement everytime i open app opening file connected internet advertisement,1
com.github.mofosyne.instantreadme,Rohit Marak,this code editor good code sugestion showing code please make app like spck editor one thing like app get live preview chrome browser and also app ad give five star,4
com.github.mofosyne.instantreadme,WaR Yt,good mobile mobile keypad supporting tab button,5
com.github.mofosyne.instantreadme,Tommy Ready,yeah i love pop ad,1
com.github.mofosyne.instantreadme,Devon Bryant,sorry i give one five star apps either good i complaint really obnoxious unnecessary ad like open file play nonskipable 30 sec ad also banner ad top the desktop one offered completely free ad whatsoever even play store licensing doesnt justify many ad cut back ill change five,1
com.github.mofosyne.instantreadme,Sam Zarr,this app mediocre point useless it pretend interactive coloring keywords literally have random quote mismatched parenthesis screwing anything well youll get never know also kinda slow honestly use built text editor whatever,1
com.github.mofosyne.instantreadme,Inderjeet Singh,good app editing file there option opening two file time if open another file first one close please must add function kind app without irritating continue process opening file,2
com.github.mofosyne.instantreadme,Amar Persaud,would great exactly i need extremely slow syntax highlighting second stopping typing add special character like catch syntax highlighting reset keyboard lettersstandard qwerty layout causing mispress lette,3
com.github.mofosyne.instantreadme,Scott James,works great windows great android editor keep returning beginning document making almost impossible create document very frustrating useable,1
com.github.mofosyne.instantreadme,Anderwriter,its text editor programmer editor you cant turn line number youre locked single monospace font please call rest u wont waste time btw typo descriptionthat inspire confidence apps reliability know i mean im saying,3
com.github.mofosyne.instantreadme,Christian Dave Racaza,keeps confirmation upon exit save file multitask app editing code tapping another file asks confirmation upon saving file useful unlike desktop please something like desktop version ill disappointed i give star,2
com.github.mofosyne.instantreadme,Michael Robin,i always favored desktop application i wondering review low i tried i honestly didnt mind whole one open file thing i seriously missed desktop auto completion available i may know make apps please find way integrate please,3
com.github.mofosyne.instantreadme,Joris Pinkse,too many ad,3
com.github.mofosyne.instantreadme,Sandra Ugochukwu,it operates smoothly far would give five star i knew view the view web option doesnt work it keep saying access denied,3
com.github.mofosyne.instantreadme,B M,a decent editor cheif complaint autosave reenables every time app opened wordcharacter count line break orwhatspace display thanks,3
com.github.mofosyne.instantreadme,Abubakar O. Aliyu,its good i never thought android version if go advance way one create external file link index file better thanks,3
com.github.mofosyne.instantreadme,Andy Zarin,not functional cant save file no folder choice auto switching letter typing digit turn et cetera result mv app devnull,1
com.github.mofosyne.instantreadme,Tom Hicks,opens file show content asking permission read file then close i deny clearly didnt need permission already opened file suspicious hell,1
com.github.mofosyne.instantreadme,Xavier birnie-scott,good editor waiting plugins desktop version my experience certainly short i cant find close button app,5
com.github.mofosyne.instantreadme,Yasar Mirza,very bad ad experience,1
com.github.mofosyne.instantreadme,Sanket Chouhan,like desktop version app,2
com.github.mofosyne.instantreadme,ElegantChris Arts,it say longer support versiondelete update yet update button,1
com.github.mofosyne.instantreadme,Homayoun Yousefi'zadeh,ads making app useless,1
